ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-12-10,11749992802.024435,9672454148.857878,21617121226.85104,11749992802.024435,11749992802.024435,3984956254.8288445,3984956254.8288445,3984956254.8288445,2132986054.760308,2132986054.760308,2132986054.760308,-153732355.90509462,-153732355.90509462,-153732355.90509462,2005702555.973631,2005702555.973631,2005702555.973631,0.0,0.0,0.0,15734949056.85328
2020-12-11,11742711877.079544,11537545306.039972,22727780891.088287,11742711877.079544,11742711877.079544,5657898159.53407,5657898159.53407,5657898159.53407,2132986054.760308,2132986054.760308,2132986054.760308,1358968902.0555816,1358968902.0555816,1358968902.0555816,2165943202.718181,2165943202.718181,2165943202.718181,0.0,0.0,0.0,17400610036.613613
2020-12-14,11720869102.244877,10887503847.932354,22898089246.90979,11720869102.244877,11720869102.244877,4686251847.06523,4686251847.06523,4686251847.06523,2132986054.760308,2132986054.760308,2132986054.760308,142761004.0158704,142761004.0158704,142761004.0158704,2410504788.2890525,2410504788.2890525,2410504788.2890525,0.0,0.0,0.0,16407120949.310108
2020-12-15,11713588177.299986,10263039268.716356,21659202248.733818,11713588177.299986,11713588177.299986,4233962944.762821,4233962944.762821,4233962944.762821,2132986054.760308,2132986054.760308,2132986054.760308,-307212085.63528526,-307212085.63528526,-307212085.63528526,2408188975.6377983,2408188975.6377983,2408188975.6377983,0.0,0.0,0.0,15947551122.062807
2020-12-16,11706307261.10287,9565256172.217283,21414686230.141964,11706307261.10287,11706307261.10287,3989046686.8430357,3989046686.8430357,3989046686.8430357,2132986054.760308,2132986054.760308,2132986054.760308,-507539372.7622779,-507539372.7622779,-507539372.7622779,2363600004.8450055,2363600004.8450055,2363600004.8450055,0.0,0.0,0.0,15695353947.945908
2020-12-17,11699026344.905752,10087886402.187567,21987307223.708088,11699026344.905752,11699026344.905752,4257130480.7114134,4257130480.7114134,4257130480.7114134,2132986054.760308,2132986054.760308,2132986054.760308,-153732355.90422356,-153732355.90422356,-153732355.90422356,2277876781.8553286,2277876781.8553286,2277876781.8553286,0.0,0.0,0.0,15956156825.617165
2020-12-18,11691745428.708635,11491853608.273178,23198711479.36282,11691745428.708635,11691745428.708635,5644995163.060709,5644995163.060709,5644995163.060709,2132986054.760308,2132986054.760308,2132986054.760308,1358968902.055337,1358968902.055337,1358968902.055337,2153040206.2450633,2153040206.2450633,2153040206.2450633,0.0,0.0,0.0,17336740591.769344
2020-12-21,11669902680.117283,9469943554.867785,21560641912.931377,11669902680.117283,11669902680.117283,3852022033.199079,3852022033.199079,3852022033.199079,2132986054.760308,2132986054.760308,2132986054.760308,142761004.01407334,142761004.01407334,142761004.01407334,1576274974.4246979,1576274974.4246979,1576274974.4246979,0.0,0.0,0.0,15521924713.316362
2020-12-22,11662621763.920164,8938997380.617586,20677218984.965107,11662621763.920164,11662621763.920164,3156738304.62943,3156738304.62943,3156738304.62943,2132986054.760308,2132986054.760308,2132986054.760308,-307212085.63653964,-307212085.63653964,-307212085.63653964,1330964335.505661,1330964335.505661,1330964335.505661,0.0,0.0,0.0,14819360068.549595
2020-12-23,11655340847.72305,8356706940.996869,19861659694.930454,11655340847.72305,11655340847.72305,2693193579.2225404,2693193579.2225404,2693193579.2225404,2132986054.760308,2132986054.760308,2132986054.760308,-507539372.7599174,-507539372.7599174,-507539372.7599174,1067746897.2221494,1067746897.2221494,1067746897.2221494,0.0,0.0,0.0,14348534426.94559
