Date,Close,Volume,CashInflow
,DHER.DE,DHER.DE,
2021-12-28,98.23999786376953,169432,16644999.3180542
2021-12-29,97.66000366210938,280898,27432499.7086792
2021-12-30,98.0,209971,20577158.0
2022-01-03,98.86000061035156,525827,51983257.54093933
2022-01-04,92.5,1014560,93846800.0
2022-01-05,89.76000213623047,628485,56412814.942588806
2022-01-06,84.86000061035156,1443084,122460109.12078857
2022-01-07,85.0999984741211,629771,53593511.139045715
2022-01-10,81.94000244140625,695688,57004676.41845703
2022-01-11,86.0,1324526,113909236.0
2022-01-12,85.5,944073,80718241.5
2022-01-13,83.66000366210938,864643,72336036.54641724
2022-01-14,78.5199966430664,1135749,89179007.66736603
2022-01-17,78.0,772707,60271146.0
2022-01-18,76.94000244140625,1232972,94864868.69018555
2022-01-19,78.54000091552734,750729,58962256.34731293
2022-01-20,78.9800033569336,827309,65340867.597221375
2022-01-21,74.5999984741211,885895,66087765.64823151
2022-01-24,68.58000183105469,1200844,82353883.71881104
2022-01-25,66.58000183105469,1010989,67311649.47117615
2022-01-26,68.08000183105469,994344,67694941.34069824
2022-01-27,65.95999908447266,1010455,66649610.87490082
2022-01-28,63.459999084472656,696396,44193289.52243042
2022-01-31,67.91999816894531,925513,62860841.26533508
2022-02-01,70.45999908447266,776922,54741923.408706665
2022-02-02,69.08000183105469,661473,45694556.05119324
2022-02-03,65.23999786376953,704123,45936983.01583099
2022-02-04,65.19999694824219,861704,56183098.170288086
2022-02-07,67.80000305175781,623789,42292896.103652954
2022-02-08,66.31999969482422,719442,47713393.220443726
2022-02-09,66.83999633789062,693130,46328806.66168213
2022-02-10,46.4900016784668,9719864,451876493.674469
2022-02-11,41.0,6563153,269089273.0
2022-02-14,43.27000045776367,4295917,185884330.55651474
2022-02-15,49.81999969482422,4504277,224403078.76540375
2022-02-16,49.66999816894531,3898436,193635308.9817505
2022-02-17,51.2400016784668,2855329,146307062.75257492
2022-02-18,47.06999969482422,2329056,109628665.20922852
2022-02-21,46.099998474121094,2141654,98730246.13209534
2022-02-22,45.58000183105469,1492047,68007504.99201965
2022-02-23,44.290000915527344,1065951,47210970.76590729
2022-02-24,44.209999084472656,2612360,115492433.20831299
2022-02-25,43.31999969482422,1643802,71209502.13835144
2022-02-28,47.810001373291016,1963960,93896930.29708862
2022-03-01,47.970001220703125,1505196,72204253.95739746
2022-03-02,47.529998779296875,1510930,71814501.05560303
2022-03-03,43.880001068115234,1122175,49241040.19861221
2022-03-04,40.459999084472656,1273803,51538068.21379852
2022-03-07,40.900001525878906,1652802,67599604.32197571
2022-03-08,40.15999984741211,2195573,88174211.34498215
2022-03-09,45.25,1837480,83145970.0
2022-03-10,41.08000183105469,1599699,65715637.84913635
2022-03-11,40.31999969482422,1949693,78611621.16500092
2022-03-14,39.09000015258789,1553692,60733820.517074585
2022-03-15,38.04999923706055,2161731,82253862.90073013
2022-03-16,41.79999923706055,2213800,92536838.31100464
2022-03-17,41.869998931884766,1844080,77211627.63031006
2022-03-18,44.939998626708984,2002027,89971090.63063431
